Branch office code,BIC code,Name of the branch office,Address of the branch office,Branch office may send VIBER items,Branch office may receive VIBER items,,,
10101401,BUDAHUHB,Budapest Bank ZRT Dombovari fiok,"7200 Dombovar, Hunyadi J út 20 b",S,R,,,
10101418,BUDAHUHB,Budapest Bank Zrt. Pécs 2 fiók,"7621 Pécs, Rákóczi út 60.",S,R,,,
10101425,BUDAHUHB,Budapest Bank Zrt. Békásmegyeri fiók,"1039 Budapest, Heltai Jenő tér 15.",S,R,,,
10101432,BUDAHUHB,Budapest Bank Zrt. Miskolc2 fiók,"3530 Miskolc, Széchenyi István út 46.",S,R,,,
10101449,BUDAHUHB,Budapest Bank Zrt. Emke2 fiók,"1072 Budapest, Rákóczi út 42.",S,R,,,
10101456,BUDAHUHB,Budapest Bank Zrt. Pécsi fiók,"7623 Pécs, Rákóczi út 28.",S,R,,,
10101463,BUDAHUHB,Budapest Bank Zrt. Kispesti fiók,"1191 Budapest, Fő utca 7.",S,R,,,
10101470,BUDAHUHB,Budapest Bank Zrt. Nyírpalota fiók,"1156 Budapest, Nyírpalota út 2.",S,R,,,
10101487,BUDAHUHB,Budapest Bank ZRT Eszakpesti fiok2,"1138 Budapest, Váci út 193.",S,R,,,
10101494,BUDAHUHB,Budapest Bank Zrt. Árkád fiók,"1106 Budapest, Kerepesi út 61.",S,R,,,
10101504,BUDAHUHB,Budapest Bank Zrt. Központi Könyvelés,"1138 Budapest, Váci út 193.",,R,,,
10101511,BUDAHUHB,Budapest Bank Zrt. Devizakönyvelés,"1138 Budapest, Váci út 193.",,R,,,
10101528,BUDAHUHB,Budapest Bank Zrt. Győri lakossági fiók,"9021 Győr, Bajcsy-Zsilinszky út 36.",S,R,,,
10101535,BUDAHUHB,Budapest Bank Zrt. Bartók Béla úti fiók,"1114 Budapest, Bartók Béla út 41.",S,R,,,
10101542,BUDAHUHB,Budapest Bank Zrt. MOM Fiók,"1123 Budapest, Alkotás utca 53.",S,R,,,
10101559,BUDAHUHB,Budapest Bank Zrt. Mamut fiók,"1024 Budapest, Lövőház utca 2-6.",S,R,,,
10101566,BUDAHUHB,Budapest Bank ZRT Váci Greens fiók,"1138 Budapest, Váci út 117.",S,R,,,
10101580,BUDAHUHB,Budapest Bank Zrt Budai Privátbanki Közp,"1126 Budapest, Nagy Jenő utca 12",S,R,,,
10102086,BUDAHUHB,Budapest Bank Zrt. Belvárosi Fiók,"1065 Budapest, Bajcsy-Zsilinszky út 5.",S,R,,,
10102093,BUDAHUHB,Budapest Bank Zrt. Délbudai Fiók,"1119 Budapest, Etele út 57.",S,R,,,
10102103,BUDAHUHB,Budapest Bank Zrt. Óbudai fiók,"1023 Budapest, Lajos utca 30.",S,R,,,
10102237,BUDAHUHB,Budapest Bank Zrt. Rákosszentmihályi Fi,"1162 Budapest, Rákosi út 128.",S,R,,,
10102244,BUDAHUHB,Budapest Bank Zrt. Északpesti fiók,"1138 Budapest, Váci út 193.",S,R,,,
10102440,BUDAHUHB,Budapest Bank Zrt. Pécsi fiók,"7621 Pécs, Rákóczi út 60.",S,R,,,
10102529,BUDAHUHB,Budapest Bank ZRT Kecskeméti fiok,"6000 Kecskemét, Nagykőrösi utca 2.",S,R,,,
10102543,BUDAHUHB,Budapest Bank Zrt. Kiskörősi fiók,"6200 Kiskőrös, Petőfi Sándor tér 18.",S,R,,,
10102615,BUDAHUHB,Budapest Bank ZRT Békéscsabai fiók,"5600 Békéscsaba, Andrássy út 18.",S,R,,,
10102718,BUDAHUHB,Budapest Bank Zrt. Miskolci fiók,"3530 Miskolc, Széchenyi István út 46.",S,R,,,
10102770,BUDAHUHB,Budapest Bank Zrt. Tiszaújvárosi fiók,"3580 Tiszaújváros, Kazinczy út 12.",S,R,,,
10102842,BUDAHUHB,Budapest Bank Zrt. Szegedi fiók,"6720 Szeged, Klauzál tér 4.",S,R,,,
10102914,BUDAHUHB,Budapest Bank Zrt. Bicskei fiók,"2060 Bicske, Kossuth tér 7.",S,R,,,
10102952,BUDAHUHB,Budapest Bank Zrt. Székesfehérvári fiók,"8000 Székesfehérvár, Bástya utca 10.",S,R,,,
10102969,BUDAHUHB,Budapest Bank Zrt. Dunaújvárosi fiók,"2400 Dunaújváros, Dózsa György út 4/B",S,R,,,
10103056,BUDAHUHB,Budapest Bank Zrt. Rákoskeresztúri fiók,"1173 Budapest, Pesti út 159-163.",S,R,,,
